,time_usec,xacc,frequency,yacc,zacc,xgyro,ygyro,zgyro,temperature
0,54042727,12,0.0,9,-997,-18,-9,0,4432
1,54142780,12,0.0,9,-996,-22,-8,0,4480
2,54242784,11,0.0,8,-996,-23,-7,-1,4480
3,54342787,10,0.0,8,-996,-24,-8,0,4432
4,54442741,12,0.0,8,-996,-19,-7,0,4480
5,54542709,11,0.0,7,-997,-17,-6,-1,4480
6,54642736,10,0.0,8,-996,-20,-6,-1,4432
7,54742748,11,0.0,8,-997,-20,-3,-3,4432
8,54842789,11,0.0,8,-997,-22,-6,-1,4480
9,54942797,12,0.0,9,-996,-18,-8,-2,4480
10,55042780,11,0.0,8,-997,-20,-8,-2,4432
11,55142780,11,0.0,8,-997,-22,-6,-3,4432
12,55242783,10,0.0,9,-996,-22,-8,-3,4432
13,55342791,9,0.0,9,-997,-19,-4,-1,4480
14,55442794,9,0.0,9,-996,-18,-8,0,4432
15,55542762,10,0.0,9,-996,-22,-8,-2,4432
16,55642800,11,0.0,9,-996,-20,-6,-3,4480
17,55742786,11,0.0,7,-997,-22,-9,-2,4432
18,55842784,11,0.0,8,-996,-24,-10,-2,4432
19,55942785,11,0.0,8,-997,-23,-8,-3,4432
20,56042745,10,0.0,8,-996,-22,-12,-1,4432
21,56142741,10,0.0,10,-997,-23,-8,-2,4432
22,56242725,10,0.0,9,-996,-18,-6,-3,4432
23,56342785,10,0.0,9,-997,-19,-8,-1,4432
24,56442760,11,0.0,8,-998,-20,-7,-2,4432
25,56542797,12,0.0,9,-997,-20,-8,-2,4432
26,56642744,12,0.0,7,-997,-25,-8,0,4432
27,56742772,12,0.0,7,-997,-20,-7,-2,4432
28,56842758,12,0.0,8,-997,-24,-8,-2,4480
29,56942737,11,0.0,8,-996,-22,-8,-3,4480
30,57042742,12,0.0,9,-996,-23,-8,0,4480
31,57142754,12,0.0,9,-997,-19,-8,-2,4432
32,57242741,11,0.0,8,-997,-20,-10,-2,4480
33,57342791,12,0.0,9,-997,-24,-6,-3,4432
34,57442790,11,0.0,8,-998,-19,-7,-1,4480
35,57542760,7,0.0,9,-996,-37,-20,0,4480
36,57642728,-8,0.0,41,-1003,-36,-8,-2,4432
37,57742771,8,0.0,2,-997,-28,-10,-4,4432
38,57842774,9,0.0,13,-998,-23,-9,-2,4432
39,57942755,10,0.0,12,-996,-25,-10,-2,4432
40,58042729,10,0.0,14,-997,-22,-7,-2,4480
41,58142736,10,0.0,12,-996,-22,-8,-1,4480
42,58242798,9,0.0,13,-997,-19,-7,0,4432
43,58342795,9,0.0,12,-996,-24,-9,-4,4432
44,58442791,12,0.0,9,-1013,-30,-6,0,4480
45,58542768,10,0.0,12,-1000,-23,-6,-3,4432
46,58642789,9,0.0,12,-995,-19,-8,-4,4432
47,58742788,10,0.0,11,-996,-23,-10,-1,4480
48,58842789,9,0.0,11,-997,-20,-7,-4,4432
49,58942783,10,0.0,11,-997,-19,-10,0,4480
50,59042740,10,0.0,11,-996,-19,-6,-2,4432
51,59142768,10,0.0,11,-997,-19,-9,0,4480
52,59242795,10,0.0,11,-997,-25,-9,-1,4432
53,59342735,10,0.0,11,-997,-22,-6,-3,4432
54,59442794,9,0.0,12,-997,-22,-6,-1,4480
55,59542730,9,0.0,11,-996,-19,-8,-1,4432
56,59642740,9,0.0,10,-994,-22,-8,-3,4432
57,59742756,10,0.0,11,-996,-23,-10,-3,4480
58,59842794,9,0.0,10,-997,-24,-7,-2,4432
59,59942763,9,0.0,11,-996,-19,-7,0,4432
60,60042767,9,0.0,11,-996,-20,-6,-2,4432
61,60142772,9,0.0,11,-996,-23,-7,-1,4480
62,60242773,10,0.0,11,-996,-19,-8,-1,4480
63,60342774,10,0.0,11,-994,-20,-10,0,4432
64,60442790,10,0.0,11,-997,-22,-6,-1,4432
65,60542772,9,0.0,11,-996,-19,-9,0,4432
66,60642798,9,0.0,11,-997,-22,-7,-2,4432
67,60742748,9,0.0,11,-997,-19,-6,-3,4480
68,60842783,10,0.0,11,-996,-22,-7,-2,4480
69,60942779,9,0.0,11,-997,-23,-7,0,4432
70,61042807,9,0.0,11,-996,-22,-7,-3,4432
71,61142763,10,0.0,11,-996,-18,-8,-1,4432
72,61242778,9,0.0,11,-997,-22,-6,-2,4432
73,61342758,9,0.0,11,-996,-19,-8,0,4432
74,61442775,9,0.0,11,-996,-19,-8,0,4432
75,61542766,9,0.0,11,-996,-23,-9,-2,4432
76,61642784,9,0.0,12,-996,-22,-7,-3,4432
77,61742778,10,0.0,11,-996,-20,-9,0,4432
78,61842777,9,0.0,11,-996,-23,-9,-2,4432
79,61942789,9,0.0,11,-996,-22,-8,-2,4480
80,62042756,9,0.0,11,-996,-23,-8,0,4480
81,62142730,9,0.0,11,-997,-22,-8,-4,4432
82,62242776,10,0.0,11,-997,-20,-11,0,4432
83,62342737,9,0.0,11,-997,-18,-9,-1,4432
84,62442778,9,0.0,11,-996,-24,-8,-1,4432
85,62542756,9,0.0,11,-997,-22,-9,-1,4432
86,62642732,9,0.0,11,-997,-20,-9,-2,4432
87,62742784,9,0.0,11,-997,-24,-11,0,4432
88,62842806,9,0.0,11,-997,-20,-8,-2,4432
89,62942775,9,0.0,10,-994,-22,-8,0,4432
90,63042729,9,0.0,11,-999,-24,-7,-1,4432
