,time_usec,xacc,frequency,yacc,zacc,xgyro,ygyro,zgyro,temperature
0,834952884,13,0.0,-13,-1002,-25,-11,0,4528
1,835212891,14,0.0,-13,-1001,-24,-8,0,4480
2,835412884,14,0.0,-13,-1001,-25,-11,0,4528
3,835612897,14,0.0,-13,-1001,-25,-8,0,4480
4,835812902,14,0.0,-13,-1001,-25,-8,-1,4480
5,836012872,14,0.0,-13,-1001,-24,-9,-1,4480
6,836212885,14,0.0,-13,-1001,-24,-6,-2,4480
7,836412840,13,0.0,-13,-1001,-25,-6,0,4480
8,836612877,13,0.0,-13,-1001,-26,-8,0,4480
9,836812882,13,0.0,-13,-1000,-27,-8,-2,4528
10,837012850,14,0.0,-13,-1000,-24,-9,-1,4480
11,837212883,13,0.0,-13,-1000,-26,-5,0,4528
12,837412887,13,0.0,-13,-1000,-20,-6,-2,4480
13,837612847,13,0.0,-12,-1000,-25,-6,-2,4528
14,837812862,14,0.0,-13,-999,-21,-9,-1,4528
15,838012896,14,0.0,-13,-1000,-22,-11,0,4528
16,838212896,14,0.0,-12,-1000,-25,-9,0,4528
17,838412838,14,0.0,-13,-1000,-25,-9,0,4528
18,838612881,14,0.0,-13,-1000,-27,-8,0,4528
19,838812903,14,0.0,-13,-1001,-25,-9,0,4480
20,839012861,14,0.0,-13,-1001,-27,-12,-2,4528
21,839212896,13,0.0,-12,-1001,-25,-10,0,4528
22,839412860,13,0.0,-12,-1001,-26,-8,-1,4528
23,839612836,13,0.0,-13,-1001,-26,-10,-1,4480
24,839812849,13,0.0,-12,-1001,-20,-8,-1,4528
25,840012867,13,0.0,-13,-1001,-21,-6,-1,4480
26,840212842,13,0.0,-13,-1001,-27,-5,-1,4528
27,840412854,13,0.0,-13,-1001,-25,-11,0,4480
28,840612867,14,0.0,-13,-1001,-24,-6,0,4528
29,840812834,14,0.0,-13,-1001,-24,-6,0,4480
30,841012853,13,0.0,-13,-1001,-25,-11,-3,4528
31,841212837,13,0.0,-12,-1001,-24,-10,-1,4528
32,841412884,13,0.0,-13,-1001,-24,-9,-1,4480
33,841612889,14,0.0,-13,-1001,-26,-9,-1,4480
34,841812893,13,0.0,-13,-1001,-25,-8,-2,4528
35,842012877,14,0.0,-12,-1001,-26,-6,0,4480
36,842212888,14,0.0,-13,-1001,-21,-5,0,4528
37,842412898,14,0.0,-12,-1001,-25,-5,-1,4480
38,842612886,14,0.0,-12,-1001,-24,-10,-1,4528
39,842812898,14,0.0,-13,-1001,-25,-9,-1,4528
40,843012861,14,0.0,-12,-1001,-26,-5,0,4480
41,843212846,14,0.0,-13,-1001,-25,-6,0,4480
42,843412847,13,0.0,-13,-1000,-28,-9,0,4480
43,843612895,14,0.0,-12,-1000,-21,-9,-3,4528
44,843812883,13,0.0,-13,-1001,-24,-10,0,4480
45,844012890,13,0.0,-13,-1000,-27,-9,-1,4480
46,844212889,13,0.0,-13,-1000,-21,-8,-1,4480
47,844412882,13,0.0,-13,-1000,-25,-6,0,4480
48,844612881,14,0.0,-12,-1000,-24,-10,0,4528
49,844812881,13,0.0,-13,-1001,-21,-6,0,4528
50,845012840,14,0.0,-13,-1000,-22,-9,0,4480
51,845212840,13,0.0,-13,-1001,-26,-10,0,4480
52,845412838,14,0.0,-13,-1001,-22,-8,-1,4528
53,845612869,14,0.0,-13,-1001,-25,-10,1,4528
54,845812840,14,0.0,-13,-1001,-24,-9,0,4480
55,846012858,14,0.0,-13,-1001,-24,-10,-1,4480
56,846212879,13,0.0,-12,-1001,-26,-10,0,4480
57,846412906,14,0.0,-12,-1000,-25,-9,-1,4480
58,846612880,13,0.0,-13,-1002,-22,-8,-3,4480
59,846812885,13,0.0,-13,-1001,-26,-9,-1,4528
60,847012842,14,0.0,-13,-1001,-25,-6,1,4528
61,847212848,14,0.0,-12,-1002,-26,-13,-1,4480
62,847412888,13,0.0,-13,-1001,-25,-9,0,4480
63,847612840,14,0.0,-13,-1002,-22,-10,0,4480
64,847812885,14,0.0,-13,-1002,-25,-8,-1,4480
65,848012883,13,0.0,-13,-1001,-24,-10,0,4528
66,848212902,14,0.0,-13,-1001,-22,-10,-1,4480
67,848412894,14,0.0,-12,-1001,-28,-6,0,4480
68,848612835,14,0.0,-13,-1002,-25,-8,0,4480
69,848812886,13,0.0,-13,-1001,-27,-11,0,4528
70,849012881,14,0.0,-13,-1001,-27,-8,-2,4480
71,849212887,13,0.0,-13,-1000,-24,-10,0,4480
72,849412892,13,0.0,-13,-1001,-25,-10,0,4480
73,849612840,14,0.0,-13,-1000,-28,-6,2,4480
74,849812892,14,0.0,-13,-1000,-24,-9,-3,4480
75,850012904,13,0.0,-13,-1001,-26,-6,-1,4480
76,850212853,13,0.0,-13,-1001,-25,-8,0,4480
77,850412890,14,0.0,-13,-1000,-24,-8,-1,4528
78,850612838,14,0.0,-12,-1000,-25,-9,0,4528
79,850812875,14,0.0,-13,-1000,-26,-11,-1,4528
80,851012837,14,0.0,-13,-1001,-24,-8,0,4480
81,851212877,14,0.0,-13,-1000,-25,-9,1,4528
82,851412889,14,0.0,-13,-1000,-24,-6,0,4480
83,851612872,13,0.0,-13,-1000,-22,-9,0,4480
84,851812858,14,0.0,-13,-1001,-22,-5,0,4528
85,852012852,14,0.0,-13,-1000,-24,-8,-1,4528
86,852212824,13,0.0,-13,-1001,-25,-8,-1,4528
87,852412891,13,0.0,-14,-1001,-24,-10,0,4480
88,852612836,14,0.0,-12,-1001,-24,-9,-3,4480
89,852812830,13,0.0,-13,-1000,-27,-10,0,4480
90,853012839,14,0.0,-12,-1000,-26,-9,0,4480
91,853212874,14,0.0,-13,-1001,-24,-9,0,4480
92,853412852,14,0.0,-12,-1001,-20,-6,-1,4528
93,853612910,13,0.0,-12,-1001,-24,-6,-1,4528
94,853812880,13,0.0,-13,-1001,-24,-9,0,4528
95,854012860,13,0.0,-13,-1002,-25,-8,0,4528
96,854212840,14,0.0,-13,-1002,-26,-11,0,4480
97,854412887,14,0.0,-13,-1001,-24,-6,0,4480
98,854612840,13,0.0,-12,-1001,-21,-10,0,4528
99,854812840,13,0.0,-13,-1001,-24,-9,0,4480
100,855012888,13,0.0,-13,-1001,-24,-6,-1,4480
101,855212886,14,0.0,-13,-1001,-25,-8,-1,4480
102,855412827,14,0.0,-13,-1001,-20,-8,-1,4480
103,855612900,14,0.0,-12,-1001,-22,-8,0,4480
104,855812892,14,0.0,-13,-1001,-24,-8,0,4480
105,856012862,13,0.0,-13,-1001,-27,-6,0,4480
106,856212843,13,0.0,-13,-1001,-24,-6,0,4528
107,856412882,13,0.0,-13,-1001,-22,-6,-1,4528
108,856612863,14,0.0,-13,-1001,-24,-12,0,4480
109,856812875,13,0.0,-13,-1001,-22,-11,0,4480
110,857012849,13,0.0,-12,-1001,-20,-9,0,4528
111,857212852,14,0.0,-13,-1001,-25,-9,0,4528
112,857412832,14,0.0,-13,-1001,-26,-10,-1,4528
113,857612885,13,0.0,-13,-1001,-24,-13,-1,4480
114,857812880,14,0.0,-13,-1001,-25,-10,-1,4528
115,858012877,13,0.0,-13,-1001,-25,-8,0,4528
116,858212839,14,0.0,-13,-1001,-28,-8,-1,4480
117,858412893,13,0.0,-13,-1001,-25,-9,0,4480
118,858612882,13,0.0,-13,-1001,-22,-6,-1,4480
119,858812843,13,0.0,-12,-1001,-22,-12,0,4480
120,859012849,14,0.0,-13,-1001,-21,-8,0,4528
121,859212834,14,0.0,-13,-1000,-25,-10,1,4528
122,859412882,13,0.0,-13,-1001,-25,-11,0,4480
123,859612834,13,0.0,-13,-1001,-25,-9,0,4480
124,859812871,13,0.0,-13,-1000,-22,-9,0,4480
125,860012847,14,0.0,-13,-1001,-28,-10,0,4480
126,860212872,14,0.0,-13,-1000,-27,-8,-1,4528
127,860412847,14,0.0,-13,-1000,-22,-10,-1,4480
128,860612870,14,0.0,-13,-1000,-22,-4,-1,4480
129,860812846,13,0.0,-13,-1000,-21,-6,-1,4528
130,861012867,13,0.0,-12,-1000,-24,-10,0,4480
131,861212883,14,0.0,-12,-1000,-24,-8,0,4528
132,861412847,14,0.0,-13,-1001,-21,-10,0,4480
133,861612881,13,0.0,-13,-1000,-27,-9,0,4480
134,861812884,14,0.0,-13,-1001,-26,-11,0,4528
135,862012874,14,0.0,-13,-1001,-21,-4,-1,4480
136,862212880,14,0.0,-13,-1001,-25,-11,-2,4480
137,862412890,14,0.0,-13,-1001,-21,-10,1,4528
138,862612886,14,0.0,-13,-1002,-24,-9,0,4480
139,862812839,14,0.0,-13,-1001,-22,-9,-1,4480
140,863012866,13,0.0,-12,-1001,-22,-6,0,4528
141,863212867,13,0.0,-13,-1002,-24,-10,-2,4528
142,863412883,14,0.0,-13,-1002,-24,-8,-1,4480
143,863612842,14,0.0,-13,-1002,-22,-9,0,4480
144,863812873,14,0.0,-13,-1002,-24,-9,-1,4528
145,864012897,14,0.0,-13,-1001,-25,-8,0,4480
146,864212846,14,0.0,-13,-1002,-25,-12,0,4480
147,864412857,14,0.0,-13,-1002,-26,-6,-1,4480
148,864612863,13,0.0,-13,-1001,-25,-9,1,4480
149,864812893,14,0.0,-13,-1001,-21,-9,0,4480
150,865012877,13,0.0,-12,-1001,-26,-9,-1,4480
151,865212882,14,0.0,-12,-1000,-24,-9,0,4480
152,865412862,14,0.0,-13,-1000,-27,-8,-2,4480
153,865612842,14,0.0,-13,-1001,-24,-9,0,4480
154,865812845,13,0.0,-13,-1000,-26,-9,0,4480
155,866012837,13,0.0,-13,-1000,-24,-8,-2,4480
156,866212892,14,0.0,-12,-1000,-22,-8,0,4528
157,866412850,14,0.0,-13,-1000,-25,-8,0,4480
158,866612858,14,0.0,-13,-1000,-22,-11,0,4528
159,866812873,13,0.0,-12,-1000,-26,-11,0,4480
160,867012891,14,0.0,-13,-1000,-26,-9,-2,4528
161,867212844,13,0.0,-13,-1000,-21,-6,0,4528
162,867412837,13,0.0,-13,-1001,-24,-6,0,4528
163,867612894,14,0.0,-12,-1001,-24,-5,0,4480
164,867812878,14,0.0,-12,-1001,-22,-8,0,4528
165,868012851,13,0.0,-13,-1001,-25,-10,0,4528
166,868212860,14,0.0,-13,-1001,-28,-9,-1,4480
167,868412880,14,0.0,-13,-1001,-25,-8,-1,4480
168,868612872,14,0.0,-12,-1002,-24,-9,0,4480
169,868812834,13,0.0,-13,-1002,-24,-6,-2,4480
170,869012875,14,0.0,-12,-1002,-24,-9,0,4480
171,869212850,14,0.0,-12,-1001,-25,-10,0,4480
172,869412889,14,0.0,-13,-1001,-21,-5,-1,4480
173,869612831,13,0.0,-12,-1002,-26,-8,-1,4480
174,869812853,13,0.0,-12,-1001,-24,-6,-1,4528
175,870012877,14,0.0,-13,-1001,-24,-4,0,4480
176,870212885,14,0.0,-13,-1002,-25,-8,0,4480
177,870412841,14,0.0,-13,-1001,-22,-9,-1,4528
178,870612864,14,0.0,-13,-1000,-26,-11,-1,4480
179,870812830,13,0.0,-13,-1001,-27,-9,-1,4480
180,871012843,14,0.0,-13,-1001,-25,-8,0,4480
181,871212849,14,0.0,-13,-1001,-22,-5,-1,4480
182,871412891,13,0.0,-13,-1001,-24,-9,0,4480
183,871612877,14,0.0,-13,-1000,-24,-5,-3,4480
184,871812883,14,0.0,-13,-1000,-24,-8,-1,4480
185,872012874,13,0.0,-13,-1000,-26,-9,0,4480
186,872212864,13,0.0,-12,-1000,-25,-10,-1,4480
187,872412904,14,0.0,-13,-1000,-26,-8,0,4480
188,872612845,13,0.0,-12,-1000,-22,-9,1,4528
189,872812880,14,0.0,-13,-1000,-26,-8,0,4528
190,873012877,13,0.0,-13,-1000,-25,-10,-2,4528
191,873212877,14,0.0,-13,-1000,-25,-9,-1,4528
192,873412835,14,0.0,-13,-1000,-27,-8,0,4528
193,873612861,13,0.0,-13,-1001,-26,-9,1,4480
194,873812830,14,0.0,-12,-1001,-22,-9,0,4528
195,874012885,13,0.0,-13,-1001,-22,-5,-1,4480
196,874212883,13,0.0,-13,-1001,-24,-9,-1,4480
197,874412878,13,0.0,-13,-1001,-24,-12,0,4480
198,874612881,14,0.0,-13,-1001,-21,-6,0,4480
199,874812884,14,0.0,-12,-1002,-26,-9,0,4480
200,875412843,14,25000.0,-13,-1002,-24,-9,-1,4480
201,875612858,13,25000.0,-13,-1003,-25,-9,-1,4480
202,875812849,13,25000.0,-12,-1002,-24,-6,0,4528
203,876012889,13,25000.0,-13,-1002,-24,-9,-1,4528
204,876212833,13,25000.0,-12,-1001,-24,-6,-3,4528
205,876412855,14,25000.0,-13,-1002,-20,-9,-1,4528
206,876612897,14,25000.0,-13,-1001,-25,-10,0,4480
207,876812889,13,25000.0,-13,-1001,-25,-10,0,4480
208,877012895,14,25000.0,-12,-1002,-25,-9,0,4480
209,877212838,14,25000.0,-12,-1001,-21,-6,0,4528
210,877412870,14,25000.0,-12,-1001,-22,-8,-1,4480
211,877612894,14,25000.0,-13,-1001,-22,-6,-1,4528
212,877812881,14,25000.0,-13,-1001,-25,-8,0,4480
213,878012903,14,25000.0,-13,-1001,-25,-5,-2,4480
214,878212847,14,25000.0,-13,-1001,-22,-12,0,4480
215,878412874,13,25000.0,-13,-1001,-25,-9,-2,4480
216,878612906,14,25000.0,-13,-1001,-22,-9,-1,4480
217,878812842,14,25000.0,-13,-1001,-27,-11,0,4480
218,879012886,14,25000.0,-12,-1001,-22,-10,0,4480
219,879212846,14,25000.0,-12,-1000,-28,-10,0,4528
220,879412886,14,25000.0,-12,-1001,-25,-9,0,4480
221,879612871,13,25000.0,-12,-1001,-22,-8,-2,4528
222,879812892,14,25000.0,-12,-1000,-25,-11,0,4480
223,880012831,14,25000.0,-12,-1000,-20,-9,0,4480
224,880212878,14,25000.0,-12,-1000,-22,-9,-1,4480
225,880412889,14,25000.0,-13,-1000,-24,-10,0,4528
226,880612895,14,25000.0,-12,-1000,-25,-11,0,4480
227,880812850,14,25000.0,-13,-1000,-25,-9,0,4480
228,881012889,14,25000.0,-13,-1000,-25,-10,-1,4528
229,881212826,14,25000.0,-13,-999,-25,-11,-3,4480
230,881412870,14,25000.0,-13,-1000,-22,-8,0,4528
231,881612831,14,25000.0,-13,-1000,-25,-9,-1,4480
232,881812841,14,25000.0,-13,-1000,-22,-8,-1,4528
233,882012875,13,25000.0,-12,-1001,-26,-6,-3,4528
234,882212854,14,25000.0,-13,-1000,-24,-10,0,4480
235,882412833,14,25000.0,-13,-1000,-25,-9,-1,4480
236,882612830,14,25000.0,-13,-1001,-26,-11,-2,4528
237,882812846,14,25000.0,-12,-1001,-21,-6,-2,4528
238,883012878,14,25000.0,-13,-1001,-21,-9,-2,4480
239,883212894,13,25000.0,-12,-1001,-27,-8,-1,4528
240,883412890,13,25000.0,-13,-1001,-24,-8,-2,4528
241,883612842,14,25000.0,-12,-1002,-25,-8,-1,4480
242,883812843,14,25000.0,-13,-1002,-26,-10,-1,4528
243,884012863,14,25000.0,-13,-1002,-22,-8,-2,4480
244,884212858,13,25000.0,-12,-1002,-24,-10,-1,4528
245,884412890,14,25000.0,-13,-1002,-28,-11,0,4480
246,884612876,13,25000.0,-13,-1002,-25,-10,0,4528
247,884812839,14,25000.0,-12,-1002,-24,-8,0,4480
248,885012900,14,25000.0,-13,-1002,-22,-5,0,4528
249,885212878,13,25000.0,-13,-1002,-24,-10,0,4480
250,887412834,13,25025.0,-12,-1000,-27,-8,-1,4480
251,887612856,13,25025.0,-13,-999,-24,-9,-1,4480
252,887812871,14,25025.0,-12,-999,-24,-5,-1,4480
253,888012844,14,25025.0,-13,-999,-25,-9,-1,4480
