,time_usec,xacc,frequency,yacc,zacc,xgyro,ygyro,zgyro,temperature
0,27223652,2,0.0,54,-1007,0,1,0,4432
1,27423645,1,0.0,54,-1008,1,2,0,4480
2,27626531,1,0.0,54,-1008,0,1,0,4432
3,27823716,0,0.0,54,-1008,0,1,0,4480
4,28023668,1,0.0,53,-1008,0,1,0,4432
5,28223646,1,0.0,53,-1008,1,1,0,4480
6,28423660,2,0.0,54,-1008,1,0,0,4432
7,28628720,1,0.0,54,-1008,1,1,0,4432
8,28823671,2,0.0,54,-1007,1,0,0,4480
9,29023679,1,0.0,54,-1008,0,1,0,4480
10,29223644,1,0.0,54,-1008,0,1,0,4480
11,29423662,2,0.0,54,-1008,0,1,0,4480
12,29626537,2,0.0,54,-1007,1,1,0,4480
13,29823658,1,0.0,54,-1007,0,1,0,4432
14,30023679,1,0.0,54,-1007,0,0,0,4480
15,30223638,2,0.0,54,-1007,1,1,0,4432
16,30423713,1,0.0,53,-1007,1,0,0,4480
17,30626497,1,0.0,53,-1007,2,0,0,4432
18,30823640,1,0.0,54,-1006,1,1,0,4432
19,31023637,1,0.0,54,-1007,1,0,0,4480
20,31223638,1,0.0,54,-1006,0,1,0,4480
21,31423663,1,0.0,54,-1007,0,1,0,4432
22,31628626,1,0.0,54,-1008,1,1,0,4480
23,31823658,1,0.0,54,-1008,0,2,0,4432
24,32023685,1,0.0,54,-1007,1,1,0,4480
25,32223642,0,0.0,53,-1007,1,2,0,4480
26,32423660,1,0.0,54,-1008,1,0,0,4432
27,32626500,0,0.0,54,-1009,0,2,0,4480
28,32823707,0,0.0,53,-1011,1,0,0,4432
29,33023701,1,0.0,53,-1009,1,0,0,4480
30,33223718,1,0.0,54,-1008,1,0,0,4432
31,33423705,2,0.0,54,-1008,1,1,0,4480
32,33626558,2,0.0,54,-1008,1,1,0,4480
33,33823671,2,0.0,54,-1008,0,1,0,4432
34,34023824,2,0.0,53,-1007,0,0,1,4480
35,34223828,1,0.0,53,-1006,0,2,0,4432
36,34423797,0,0.0,54,-1007,1,0,0,4432
37,34626353,1,0.0,53,-1008,1,1,0,4432
38,34823805,1,0.0,53,-1008,1,0,0,4432
39,35023837,1,0.0,54,-1007,1,0,0,4432
40,35223828,1,0.0,54,-1007,1,1,0,4432
41,35423820,1,0.0,54,-1007,1,0,0,4480
42,35626410,2,0.0,54,-1006,1,0,0,4432
43,35823837,2,0.0,54,-1007,1,0,0,4480
44,36023839,1,0.0,54,-1007,0,0,0,4432
45,36223831,2,0.0,54,-1008,1,0,0,4432
46,36423824,1,0.0,54,-1008,1,0,0,4432
47,36626394,1,0.0,54,-1007,1,1,0,4480
48,36823835,1,0.0,54,-1007,0,1,0,4480
49,37023822,1,0.0,54,-1007,1,0,0,4480
50,37223832,1,0.0,54,-1007,1,1,0,4480
51,37423825,2,0.0,53,-1007,1,1,0,4480
52,37626367,1,0.0,54,-1008,1,0,0,4432
53,37823830,2,0.0,54,-1007,1,1,0,4480
54,38023847,1,0.0,54,-1008,1,1,0,4432
55,38223808,2,0.0,54,-1008,1,1,0,4480
56,38423815,1,0.0,54,-1008,1,1,0,4480
57,38626389,1,0.0,54,-1008,0,0,0,4432
58,38823832,1,0.0,54,-1008,1,1,0,4480
59,39023822,1,0.0,54,-1008,0,1,0,4480
60,39223823,1,0.0,53,-1009,0,1,0,4432
61,39423852,1,0.0,54,-1008,1,0,0,4480
62,39626385,1,0.0,54,-1009,0,1,0,4432
63,39823821,1,0.0,53,-1008,0,0,0,4480
64,40023818,1,0.0,54,-1008,0,1,1,4432
65,40223841,1,0.0,54,-1008,1,1,0,4432
66,40423831,1,0.0,54,-1008,1,1,0,4432
67,40626405,1,0.0,53,-1008,0,0,0,4432
68,40823824,1,0.0,54,-1007,1,0,0,4432
69,41023822,1,0.0,54,-1008,0,1,0,4432
70,41223830,1,0.0,54,-1007,0,0,0,4432
71,41423819,1,0.0,54,-1007,0,1,0,4432
72,41626388,1,0.0,54,-1007,1,1,0,4432
73,41823822,1,0.0,54,-1007,0,1,0,4432
74,42023838,1,0.0,54,-1007,0,1,0,4480
75,42223829,1,0.0,54,-1007,1,1,0,4432
76,42423823,1,0.0,54,-1008,1,0,0,4432
77,42626415,2,0.0,54,-1007,1,1,0,4480
78,42823822,1,0.0,54,-1007,1,1,0,4432
79,43023821,1,0.0,53,-1007,1,1,0,4480
80,43223818,1,0.0,54,-1007,0,0,0,4480
81,43423832,1,0.0,54,-1007,1,0,0,4480
82,43626408,2,0.0,54,-1007,1,1,0,4432
83,43823843,1,0.0,53,-1007,1,1,0,4432
84,44023825,1,0.0,54,-1007,0,2,0,4432
85,44223829,1,0.0,54,-1007,1,2,0,4480
86,44423820,1,0.0,54,-1007,1,2,0,4432
87,44626409,1,0.0,54,-1008,1,1,0,4480
88,44823830,1,0.0,54,-1008,0,0,0,4480
89,45023854,2,0.0,54,-1008,1,1,0,4432
90,45223822,1,0.0,53,-1007,1,1,0,4432
91,45423813,2,0.0,54,-1008,1,1,0,4480
92,45626408,1,0.0,53,-1008,1,0,0,4432
93,45823834,2,0.0,54,-1009,0,0,0,4480
94,46023798,1,0.0,53,-1008,1,1,0,4432
95,46223790,1,0.0,54,-1008,0,1,0,4432
96,46423830,1,0.0,54,-1009,1,1,0,4480
97,46626386,2,0.0,54,-1009,1,1,0,4480
98,46823824,1,0.0,54,-1008,0,0,0,4432
99,47023817,1,0.0,54,-1008,1,0,0,4432
100,47223833,1,0.0,53,-1008,1,0,0,4432
101,47423828,1,0.0,54,-1007,0,0,0,4480
102,47626415,1,0.0,54,-1007,0,0,0,4480
103,47823822,1,0.0,54,-1007,1,1,-1,4480
104,48023826,1,0.0,54,-1008,1,1,0,4432
105,48223839,1,0.0,54,-1007,1,1,0,4480
106,48423827,2,0.0,54,-1008,0,1,0,4480
107,48626419,1,0.0,54,-1004,2,3,0,4432
108,48823805,1,0.0,54,-1011,1,0,0,4480
109,49023823,1,0.0,53,-1010,1,0,0,4432
110,49223822,1,0.0,53,-1007,0,0,0,4480
111,49423817,1,0.0,53,-1007,1,0,0,4432
112,49626390,1,0.0,54,-1006,1,1,0,4480
113,49823835,2,0.0,54,-1006,1,1,0,4432
114,50023800,1,0.0,54,-1007,0,2,0,4432
115,50223801,1,0.0,53,-1008,1,1,0,4432
116,50423828,1,0.0,53,-1007,0,0,1,4480
117,50626440,1,0.0,53,-1007,1,0,1,4432
118,50823822,1,0.0,54,-1007,1,1,0,4480
119,51023822,1,0.0,54,-1008,1,1,1,4432
120,51223840,1,0.0,54,-1007,1,0,1,4432
121,51423815,2,0.0,54,-1007,0,1,0,4480
122,51626454,1,0.0,53,-1007,0,1,0,4432
123,51823805,1,0.0,54,-1007,0,1,0,4480
124,52023825,2,0.0,53,-1007,1,1,0,4432
125,52223805,2,0.0,54,-1007,0,1,0,4432
126,52423824,1,0.0,53,-1008,0,1,0,4432
127,52626401,1,0.0,54,-1007,1,1,0,4432
128,52823852,1,0.0,54,-1007,1,0,1,4432
129,53023865,2,0.0,53,-1008,1,1,0,4432
130,53223836,2,0.0,53,-1012,0,-1,0,4480
131,53423826,1,0.0,54,-1006,1,1,0,4480
132,53626396,1,0.0,54,-1007,1,2,0,4432
133,53823783,1,0.0,54,-1006,0,2,0,4432
134,54023821,1,0.0,54,-1007,0,0,0,4432
135,54223806,1,0.0,54,-1009,0,0,0,4480
136,54423849,1,0.0,54,-1008,2,2,0,4432
137,54626408,2,0.0,54,-1008,1,1,0,4432
138,54823854,2,0.0,54,-1008,0,1,0,4432
139,55023829,2,0.0,53,-1009,1,0,0,4480
140,55223827,1,0.0,54,-1008,1,0,0,4432
141,55423823,2,0.0,54,-1007,1,1,0,4432
142,55626382,1,0.0,53,-1013,0,0,0,4432
143,55823818,2,0.0,55,-1008,2,0,0,4480
144,56023852,0,0.0,54,-1006,0,1,0,4432
145,56223848,1,0.0,53,-1006,0,0,0,4480
146,56423846,1,0.0,53,-1008,1,1,0,4480
147,56626423,2,0.0,54,-1007,1,1,0,4432
148,56823821,2,0.0,54,-1008,1,0,0,4432
149,57023825,2,0.0,54,-1007,0,0,0,4480
150,57223824,2,0.0,55,-1008,0,0,0,4432
151,57423814,1,0.0,54,-1007,1,0,0,4432
152,57626400,1,0.0,54,-1008,1,1,0,4432
153,57823804,2,0.0,53,-1008,0,1,0,4432
154,58023801,1,0.0,53,-1007,1,2,0,4432
155,58223812,1,0.0,54,-1008,0,0,0,4480
156,58423838,1,0.0,54,-1007,1,0,0,4432
157,58626451,2,0.0,54,-1008,1,1,0,4432
158,58823806,1,0.0,54,-1007,1,0,0,4480
159,59023845,2,0.0,54,-1007,1,1,0,4432
160,59223803,2,0.0,54,-1007,1,1,0,4480
161,59423817,1,0.0,54,-1007,0,1,0,4432
162,59626414,1,0.0,54,-1008,1,0,0,4480
163,59823819,2,0.0,54,-1008,0,0,0,4432
164,60023828,1,0.0,54,-1009,1,2,0,4480
165,60223854,1,0.0,54,-1009,1,1,0,4480
166,60423817,1,0.0,54,-1009,1,1,0,4432
167,60626406,1,0.0,54,-1009,0,1,0,4432
168,60823824,2,0.0,53,-1008,1,0,1,4432
169,61023816,1,0.0,54,-1008,0,0,0,4432
170,61223825,2,0.0,53,-1007,1,1,0,4432
171,61423833,1,0.0,53,-1009,1,1,0,4432
172,61626416,1,0.0,54,-1007,1,1,0,4432
173,61823815,1,0.0,54,-1009,1,2,0,4432
174,62023831,0,0.0,54,-1009,0,1,0,4432
175,62223790,1,0.0,53,-1008,1,1,1,4432
176,62423823,1,0.0,53,-1008,0,0,0,4432
177,62626365,2,0.0,54,-1008,0,1,0,4432
178,62823792,1,0.0,53,-1008,1,1,0,4480
179,63023817,1,0.0,54,-1007,1,0,0,4432
180,63223859,2,0.0,54,-1008,1,1,0,4432
181,63423829,2,0.0,54,-1007,1,1,0,4432
182,63626349,2,0.0,54,-1008,1,1,0,4480
183,63823834,2,0.0,54,-1007,0,1,0,4432
184,64023819,2,0.0,54,-1007,1,1,0,4432
185,64223836,1,0.0,53,-1007,1,1,0,4432
186,64423818,1,0.0,54,-1007,2,1,0,4480
187,64626412,2,0.0,54,-1007,0,0,0,4432
188,64823814,1,0.0,54,-1007,1,1,0,4480
189,65023821,1,0.0,54,-1007,0,1,0,4432
190,65223824,2,0.0,54,-1007,1,0,0,4480
191,65423811,2,0.0,53,-1007,1,1,0,4480
192,65626410,1,0.0,53,-1007,1,0,0,4432
