,time_usec,xacc,yacc,zacc,xgyro,ygyro,zgyro,temperature
0,14399685373,-13,-2,-1002,-23,-6,-3,4480
1,14399885331,-13,-3,-1002,-26,-7,0,4528
2,14400085347,-13,-3,-1002,-23,-9,0,4528
3,14400285326,-13,-2,-1002,-25,-8,-4,4480
4,14400485325,-13,-2,-1002,-25,-9,-1,4528
5,14400685365,-100,-2,-1002,-21,-6,-3,4528
6,14400885328,-13,-2,-1002,-24,-8,-1,4480
7,14401085357,-13,-3,-1002,-24,-7,0,4528
8,14401285338,-13,-2,-1002,-28,-8,-4,4528
9,14401485372,-13,-3,-1002,-25,-8,-1,4528
